Date,Ping (ms),Download (Mbps),Upload (Mbps)
2020-06-16 00:30:27.458629,44.0,6.16,1.22
2020-06-16 01:00:29.833996,58.0,6.12,1.03
2020-06-16 01:30:26.597315,43.0,6.14,1.17
2020-06-16 02:00:31.605352,60.0,5.98,1.12
2020-06-16 02:30:28.754026,49.0,6.08,1.1
2020-06-16 03:00:30.878147,60.0,6.15,1.03
2020-06-16 03:30:28.176385,42.0,5.76,1.05
2020-06-16 04:00:34.973711,59.0,6.13,1.11
2020-06-16 04:30:26.022325,45.0,6.13,1.25
2020-06-16 05:00:32.020410,59.0,5.93,1.07
2020-06-16 05:30:28.634243,48.0,6.14,1.09
2020-06-16 06:00:28.872786,60.0,5.99,1.1
2020-06-16 06:30:26.697502,41.0,6.1,1.19
2020-06-16 07:00:31.083826,81.0,5.74,1.23
2020-06-16 07:30:29.497803,61.0,5.52,0.98
2020-06-16 08:00:34.139432,181.0,3.94,1.02
2020-06-16 08:30:27.739392,49.0,5.98,1.09
2020-06-16 09:00:30.832068,48.0,6.08,1.14
2020-06-16 09:30:26.916855,43.0,6.03,1.13
2020-06-16 10:00:30.011621,49.0,5.49,1.15
2020-06-16 10:30:27.334915,43.0,6.06,1.09
2020-06-16 11:00:32.910089,58.0,6.07,0.99
2020-06-16 11:30:26.544527,39.0,6.18,1.14
2020-06-16 12:00:31.294171,59.0,3.95,0.89
2020-06-16 12:30:28.588874,62.0,4.47,1.02
2020-06-16 13:00:33.461734,64.0,3.42,0.97
2020-06-16 21:00:31.054329,63.0,5.24,1.1
2020-06-16 21:30:26.786673,60.0,6.16,1.13
2020-06-16 22:00:28.131380,48.0,4.19,0.91
2020-06-16 22:30:34.239193,60.0,5.23,1.01
2020-06-16 23:00:36.210160,58.0,6.12,1.01
2020-06-16 23:30:31.977049,45.0,5.73,0.84
2020-06-17 00:00:28.520183,60.0,5.88,1.25
2020-06-17 00:30:29.181527,49.0,6.09,1.04
2020-06-17 01:00:31.011035,61.0,6.0,1.07
2020-06-17 01:30:26.404355,46.0,6.14,1.23
2020-06-17 02:00:28.228665,53.0,5.9,1.15
2020-06-17 02:30:28.147980,44.0,5.94,1.09
2020-06-17 03:00:27.049462,44.0,6.13,1.18
2020-06-17 03:30:26.383400,40.0,6.18,1.26
2020-06-17 04:00:30.748892,42.0,6.17,1.15
2020-06-17 04:30:27.083094,60.0,6.13,1.17
2020-06-17 05:00:27.582869,63.0,5.76,1.16
2020-06-17 05:30:27.664580,43.0,6.03,1.16
2020-06-17 06:00:34.736511,63.0,5.74,1.01
2020-06-17 06:30:27.022388,40.0,6.11,1.18
2020-06-17 07:00:29.841014,42.0,5.66,0.89
2020-06-17 07:30:28.069801,44.0,5.86,1.01
2020-06-17 08:00:29.903089,40.0,6.17,1.0
2020-06-17 08:30:27.446864,40.0,5.98,1.11
2020-06-17 09:00:28.560779,61.0,5.06,1.08
2020-06-17 09:30:27.192262,44.0,6.1,1.18
2020-06-17 10:00:31.146141,60.0,5.74,1.17
2020-06-17 10:30:28.817444,50.0,6.1,1.14
2020-06-17 11:00:30.440842,52.0,4.44,1.2
2020-06-17 11:30:28.272537,57.0,6.13,1.25
2020-06-17 12:00:35.056018,61.0,4.79,1.06
2020-06-17 12:30:34.414137,120.0,3.04,0.84
2020-06-17 13:00:44.532585,62.0,4.52,0.97
2020-06-17 13:30:34.727832,43.0,6.09,0.98
2020-06-17 14:00:38.737401,105.0,4.17,0.93
2020-06-17 14:30:34.906541,40.0,6.13,1.0
2020-06-17 15:00:34.949068,40.0,3.24,0.95
2020-06-17 15:30:33.247144,57.0,4.58,1.03
2020-06-17 16:00:40.225997,66.0,5.53,0.81
2020-06-17 16:30:40.906018,39.0,6.17,1.14
2020-06-17 17:00:36.373347,60.0,5.97,1.01
2020-06-17 17:30:43.875525,115.0,2.83,0.77
2020-06-17 18:00:39.206948,120.0,4.08,0.98
2020-06-17 18:30:35.852669,53.0,3.54,0.84
2020-06-17 19:00:34.713651,63.0,6.02,1.2
2020-06-17 19:30:42.207061,44.0,6.05,1.18
2020-06-17 20:00:27.856019,49.0,6.11,1.07
2020-06-17 20:30:27.284377,45.0,6.16,1.14
2020-06-17 21:00:35.847831,42.0,5.77,0.94
2020-06-17 21:30:34.223304,162.0,2.96,0.86
2020-06-17 22:00:37.436690,77.0,3.42,0.92
2020-06-17 22:30:31.565788,40.0,5.06,0.81
2020-06-18 17:30:45.683059,234.0,4.24,0.95
2020-06-18 18:02:49.013361,42.0,4.31,1.0
2020-06-18 18:31:45.779841,40.0,3.21,1.08
2020-06-18 19:00:39.239047,75.0,3.16,0.96
2020-06-18 19:30:37.780418,40.0,4.69,0.95
2020-06-18 20:00:53.013491,40.0,6.17,1.05
2020-06-18 20:30:36.303811,24.0,6.08,1.09
2020-06-18 21:00:46.851173,125.0,3.16,0.72
2020-06-18 21:30:38.742690,57.0,4.28,0.92
2020-06-18 22:00:41.434409,61.0,4.52,0.85
2020-06-18 22:30:42.733195,40.0,5.51,1.06
2020-06-18 23:00:35.250182,49.0,5.98,1.13
2020-06-18 23:30:34.028603,46.0,6.06,1.03
2020-06-19 00:00:46.564476,40.0,6.14,1.02
2020-06-19 00:30:34.483943,40.0,6.17,1.1
2020-06-19 01:00:33.376069,64.0,6.04,1.13
2020-06-19 01:30:31.875230,39.0,5.67,1.21
2020-06-19 02:00:34.645656,34.0,4.56,1.07
2020-06-19 02:30:35.733251,48.0,6.15,1.02
2020-06-19 03:00:34.139323,48.0,6.08,1.06
2020-06-19 03:30:39.802623,40.0,6.11,1.17
2020-06-19 04:00:33.374191,47.0,5.88,1.15
2020-06-19 04:30:34.237931,49.0,6.09,1.03
2020-06-19 05:00:33.499629,51.0,6.17,1.14
2020-06-19 05:30:32.665466,40.0,6.22,1.15
2020-06-19 06:00:31.820385,44.0,6.14,1.22
2020-06-19 06:30:32.932605,40.0,5.94,1.05
2020-06-19 07:00:33.692490,46.0,6.17,1.14
2020-06-19 07:30:32.298261,43.0,6.02,1.19
2020-06-19 08:00:36.315176,99.0,5.8,1.07
2020-06-19 08:30:35.952065,56.0,5.77,1.04
2020-06-19 09:00:28.340775,48.0,6.13,1.08
2020-06-19 09:30:42.579367,43.0,6.16,0.68
2020-06-19 10:00:32.172629,54.0,6.14,1.18
2020-06-19 10:30:33.615923,45.0,6.18,1.09
2020-06-19 11:00:34.330979,48.0,6.01,1.07
2020-06-19 11:30:33.687859,45.0,6.12,1.08
2020-06-19 12:00:36.994540,44.0,6.13,1.05
2020-06-19 12:30:36.931773,40.0,4.68,0.99
2020-06-19 13:00:40.189886,45.0,6.17,1.12
2020-06-19 13:30:35.681610,45.0,6.15,1.1
2020-06-19 14:00:33.954416,60.0,6.16,1.16
2020-06-19 14:30:31.342927,45.0,5.92,1.19
2020-06-19 15:00:35.432984,59.0,6.07,1.12
2020-06-19 15:30:33.510109,44.0,6.13,1.04
2020-06-19 16:00:33.037007,44.0,6.07,1.16
2020-06-19 16:30:33.318343,40.0,6.14,1.12
2020-06-19 17:00:32.944939,43.0,6.13,1.1
2020-06-19 17:30:34.431988,45.0,6.12,1.19
